ID,wordName,turkishDefiniton,grupNo,part,subPart
379,increase in,"...-de artış, yükselme",1058,NOUN + PREP,
380,interest in,...-e ilgi,1058,NOUN + PREP,
381,reduction in,"...-de azalma, düşüş",1058,NOUN + PREP,
382,rise in,"...-de artış, yükselme",1058,NOUN + PREP,
383,advice on,ile ilgili tavsiye,1058,NOUN + PREP,
384,agreement on,"üzerinde anlaşma, uzlaşı",1058,NOUN + PREP,
385,article on,hakkında makale,1058,NOUN + PREP,
386,assault on,...-e saldırı,1058,NOUN + PREP,
387,attack on,...-e saldırı,1058,NOUN + PREP,
388,authority on,"...-de otorite, yetki",1058,NOUN + PREP,
389,ban on,...-e yasaklama,1058,NOUN + PREP,
390,debate on,hakkında tartışma,1058,NOUN + PREP,
391,decision on,hakkında karar,1058,NOUN + PREP,
392,dependence on,"...-e bağımlılık, bağlılık",1058,NOUN + PREP,
393,effect on,üzerinde etki,1058,NOUN + PREP,
394,emphasize on,...-e vurgu,1058,NOUN + PREP,
395,expert on,...-de uzman,1058,NOUN + PREP,
396,impact on,üzerinde etki,1058,NOUN + PREP,
397,influence on,üzerinde etki,1058,NOUN + PREP,
398,information on,üzerine bilgi,1058,NOUN + PREP,
399,interest on,...-e (uygulanan) faiz,1058,NOUN + PREP,
400,opinion on,"üzerine fikir, düşünce",1058,NOUN + PREP,
401,recommendation on,hakkında tavsiye,1058,NOUN + PREP,
402,report on,üzerine haber,1058,NOUN + PREP,
403,research on,hakkında araştırma,1058,NOUN + PREP,
404,restriction on,...-e kısıtlama,1058,NOUN + PREP,
405,stress on,...-e vurgu,1058,NOUN + PREP,
406,tax on,...-e vergi,1058,NOUN + PREP,
407,agreement about,"hakkında anlaşma, uzlaşı",1058,NOUN + PREP,
408,anxiety about,"hakkında endişe, kaygı",1058,NOUN + PREP,
409,debate about,hakkında tartışma,1058,NOUN + PREP,
410,decision about,hakkında karar,1058,NOUN + PREP,
411,doubt about,hakkında şüphe,1058,NOUN + PREP,
412,estimate about,hakkında tahmin,1058,NOUN + PREP,
413,information about,hakkında bilgi,1058,NOUN + PREP,
414,knowledge about,hakkında bilgi,1058,NOUN + PREP,
415,opinion about,"hakkında fikir, düşünce",1058,NOUN + PREP,
416,advantage over,...-e karşı avantaj,1058,NOUN + PREP,
417,authority over,"üzerinde otorite, yetki",1058,NOUN + PREP,
418,control over,"üzerine denetim, kontrol",1058,NOUN + PREP,
419,effect over,üzerinde etki,1058,NOUN + PREP,
420,impact over,üzerinde etki,1058,NOUN + PREP,
421,influence over,üzerinde etki,1058,NOUN + PREP,
422,association with,ile ilişki,1058,NOUN + PREP,
423,connection with,"ile bağlantı, ilişki",1058,NOUN + PREP,
424,contrast with,ile zıtlık,1058,NOUN + PREP,
425,difficulty with,"ile ilgili sıkıntı, problem",1058,NOUN + PREP,
426,matter with,"ile ilgili sıkıntı, problem",1058,NOUN + PREP,
427,obsession with,"...-e takıntı, saplantı",1058,NOUN + PREP,
428,problem with,"ile ilgili sıkıntı, problem",1058,NOUN + PREP,
429,relationship with,ile ilişki,1058,NOUN + PREP,
430,trouble with,"ile ilgili sıkıntı, problem",1058,NOUN + PREP,
431,access to,...-e erişim,1058,NOUN + PREP,
432,addiction to,...-e bağımlılık,1058,NOUN + PREP,
433,alternative to,...-e alternatif,1058,NOUN + PREP,
434,approach to,...-e yaklaşım,1058,NOUN + PREP,
435,"attitude to,&attitude towards","...-e karşı tutum, tavır",1058,NOUN + PREP,
436,contribution to,...-e katkı,1058,NOUN + PREP,
437,damage to,"...-e zarar, hasar",1058,NOUN + PREP,
438,devotion to,...-e adama,1058,NOUN + PREP,
439,exception to,...-nın istisnası,1058,NOUN + PREP,
440,invitation to,...-e davet,1058,NOUN + PREP,
441,reaction to,...-e tepki,1058,NOUN + PREP,
442,reference to,"...-e atıf, referans",1058,NOUN + PREP,
443,relevance to,...-e uygunluk,1058,NOUN + PREP,
444,reply to,"...-e cevap, yanıt",1058,NOUN + PREP,
445,response to,"...-e cevap, yanıt",1058,NOUN + PREP,
446,solution to,...-e çözüm,1058,NOUN + PREP,
447,threat to,"...-e tehdit, risk",1058,NOUN + PREP,
448,transition to,"...-e geçiş, değişiklik",1058,NOUN + PREP,
449,bond between,"… arasındaki bağ, ilişki",1058,NOUN + PREP,
450,comparison between,… arasındaki kıyaslama,1058,NOUN + PREP,
451,connection between,… arasındaki ilişki,1058,NOUN + PREP,
452,contrast between,… arasındaki zıtlık,1058,NOUN + PREP,
453,difference between,… arasındaki fark,1058,NOUN + PREP,
454,link between,"… arasındaki bağlantı, ilişki",1058,NOUN + PREP,
455,relationship between,… arasındaki ilişki,1058,NOUN + PREP,
456,similarity between,… arasındaki benzerlik,1058,NOUN + PREP,
457,acclaim for,"için beğeni, övgü",1058,NOUN + PREP,
458,admiration for,…-e hayranlık,1058,NOUN + PREP,
459,application for,için başvuru,1058,NOUN + PREP,
460,cure for,"için tedavi, çözüm",1058,NOUN + PREP,
461,demand for,…-e talep,1058,NOUN + PREP,
462,desire for,"için istek, arzu",1058,NOUN + PREP,
463,hope for,"için ümit, umut",1058,NOUN + PREP,
464,longing for,…-e özlem,1058,NOUN + PREP,
465,need for,…-e ihtiyaç,1058,NOUN + PREP,
466,order for,için sipariş / emir,1058,NOUN + PREP,
467,passion for,…-e tutku,1058,NOUN + PREP,
468,preference for,…-e yönelik tercih,1058,NOUN + PREP,
469,reason for,…-nın sebebi,1058,NOUN + PREP,
470,request for,"için rica, istek",1058,NOUN + PREP,
471,respect for,için saygı,1058,NOUN + PREP,
472,responsibility for,…-nın sorumluluğu,1058,NOUN + PREP,
473,room for,için alan / yer,1058,NOUN + PREP,
474,search for,için arayış,1058,NOUN + PREP,
475,struggle for,için mücadele,1058,NOUN + PREP,
476,anger at smt,(bir şeye) kızgınlık,1058,NOUN + PREP,
477,expert at,…-de uzman,1058,NOUN + PREP,
478,action against,"…-e karşı önlem, tedbir",1058,NOUN + PREP,
479,fight against,…-e karşı savaş,1058,NOUN + PREP,
480,measure against,"…-e karşı önlem, tedbir",1058,NOUN + PREP,
481,precaution against,"…-e karşı önlem, tedbir",1058,NOUN + PREP,
482,protection against,…-e karşı koruma,1058,NOUN + PREP,
483,step against,"…-e karşı önlem, tedbir",1058,NOUN + PREP,
484,struggle against,…-e karşı mücadele,1058,NOUN + PREP,
485,citation from,…-den alıntı,1058,NOUN + PREP,
486,protection from,…-den koruma,1058,NOUN + PREP,
487,quotation from,…-den alıntı,1058,NOUN + PREP,
488,transition from,"…-den geçiş, değişiklik",1058,NOUN + PREP,
489,inquiry into,"…-e dair araştırma, soruşturma",1058,NOUN + PREP,
490,investigation into,"…-e dair inceleme, soruşturma",1058,NOUN + PREP,
491,research into,…-e dair araştırma,1058,NOUN + PREP,
492,in a nutshell,"özet olarak, kısaca",1059,IN + NOUN,PREP + NOUN COMBINATIONS
493,in action,iş başında,1059,IN + NOUN,PREP + NOUN COMBINATIONS
494,in advance,önceden,1059,IN + NOUN,PREP + NOUN COMBINATIONS
495,in captivity,"tutsak, esir",1059,IN + NOUN,PREP + NOUN COMBINATIONS
496,in cash,nakit olarak,1059,IN + NOUN,PREP + NOUN COMBINATIONS
497,in charge of,...-den sorumlu,1059,IN + NOUN,PREP + NOUN COMBINATIONS
498,in conclusion,sonuç olarak,1059,IN + NOUN,PREP + NOUN COMBINATIONS
499,in danger,tehlikede,1059,IN + NOUN,PREP + NOUN COMBINATIONS
500,in debt,borçlu,1059,IN + NOUN,PREP + NOUN COMBINATIONS
501,in demand,rağbet gören,1059,IN + NOUN,PREP + NOUN COMBINATIONS
502,in detail,"ayrıntılı, detaylı olarak",1059,IN + NOUN,PREP + NOUN COMBINATIONS
503,in effect,yürürlükte,1059,IN + NOUN,PREP + NOUN COMBINATIONS
504,in essence,"aslında, esas itibariyle",1059,IN + NOUN,PREP + NOUN COMBINATIONS
505,in fashion,modaya uygun,1059,IN + NOUN,PREP + NOUN COMBINATIONS
506,in force,"geçerli, yürürlükte",1059,IN + NOUN,PREP + NOUN COMBINATIONS
507,in love (with),aşık,1059,IN + NOUN,PREP + NOUN COMBINATIONS
508,in my opinion,"bana göre, bence",1059,IN + NOUN,PREP + NOUN COMBINATIONS
509,in need,"ihtiyaç sahibi, ihtiyacı olan",1059,IN + NOUN,PREP + NOUN COMBINATIONS
510,in order,"düzenli, düzen içinde",1059,IN + NOUN,PREP + NOUN COMBINATIONS
511,in peril,tehlike altında,1059,IN + NOUN,PREP + NOUN COMBINATIONS
512,in person,"şahsen, bizzat",1059,IN + NOUN,PREP + NOUN COMBINATIONS
513,in practice,uygulamada,1059,IN + NOUN,PREP + NOUN COMBINATIONS
514,in progress,yapılmakta olan,1059,IN + NOUN,PREP + NOUN COMBINATIONS
515,in reality,"aslında, gerçekte",1059,IN + NOUN,PREP + NOUN COMBINATIONS
516,in retrospect,geri dönüp bakıldığında,1059,IN + NOUN,PREP + NOUN COMBINATIONS
517,in size,genişlik bakımından,1059,IN + NOUN,PREP + NOUN COMBINATIONS
518,in the end,"nihayet, sonunda",1059,IN + NOUN,PREP + NOUN COMBINATIONS
519,in theory,teoride,1059,IN + NOUN,PREP + NOUN COMBINATIONS
520,in time,"zamanından önce, zamanla",1059,IN + NOUN,PREP + NOUN COMBINATIONS
521,in touch,iletişim halinde,1059,IN + NOUN,PREP + NOUN COMBINATIONS
522,in turn,"sırayla, nöbetleşe",1059,IN + NOUN,PREP + NOUN COMBINATIONS
523,in vain,"boşuna, nafile",1059,IN + NOUN,PREP + NOUN COMBINATIONS
524,in writing,yazılı olarak,1059,IN + NOUN,PREP + NOUN COMBINATIONS
525,at any cost,ne pahasına olursa olsun,1059,AT + NOUN,PREP + NOUN COMBINATIONS
526,at fault,hatalı,1059,AT + NOUN,PREP + NOUN COMBINATIONS
527,at issue,gündemde,1059,AT + NOUN,PREP + NOUN COMBINATIONS
528,at profit,kârda,1059,AT + NOUN,PREP + NOUN COMBINATIONS
529,at loss,zararda,1059,AT + NOUN,PREP + NOUN COMBINATIONS
530,at random,rastgele,1059,AT + NOUN,PREP + NOUN COMBINATIONS
531,at short notice,kısa sürede,1059,AT + NOUN,PREP + NOUN COMBINATIONS
532,at stake,tehlikede,1059,AT + NOUN,PREP + NOUN COMBINATIONS
533,at times,"bazen, zaman zaman",1059,AT + NOUN,PREP + NOUN COMBINATIONS
534,at will,"keyfi, isteğe göre",1059,AT + NOUN,PREP + NOUN COMBINATIONS
535,at your convenience,size uygun zamanda,1059,AT + NOUN,PREP + NOUN COMBINATIONS
536,by accident,kazara,1059,BY + NOUN,PREP + NOUN COMBINATIONS
537,by air,hava yolları ile,1059,BY + NOUN,PREP + NOUN COMBINATIONS
538,by appointment,randevuyla,1059,BY + NOUN,PREP + NOUN COMBINATIONS
539,by auction,açık artırmayla,1059,BY + NOUN,PREP + NOUN COMBINATIONS
540,by chance,kazara,1059,BY + NOUN,PREP + NOUN COMBINATIONS
541,by cheque,çek ile,1059,BY + NOUN,PREP + NOUN COMBINATIONS
542,by definition,tanımı gereği,1059,BY + NOUN,PREP + NOUN COMBINATIONS
543,by degrees,kademe kademe,1059,BY + NOUN,PREP + NOUN COMBINATIONS
544,by force,"zorla, şiddetle",1059,BY + NOUN,PREP + NOUN COMBINATIONS
545,by hand,"el ile, elden",1059,BY + NOUN,PREP + NOUN COMBINATIONS
546,by heart,ezbere,1059,BY + NOUN,PREP + NOUN COMBINATIONS
547,by law,kanunen,1059,BY + NOUN,PREP + NOUN COMBINATIONS
548,by means of,aracılığıyla,1059,BY + NOUN,PREP + NOUN COMBINATIONS
549,by mistake,yanlışlıkla,1059,BY + NOUN,PREP + NOUN COMBINATIONS
550,by nature,"doğuştan, fıtrat gereği",1059,BY + NOUN,PREP + NOUN COMBINATIONS
551,by the river,nehir kenarında,1059,BY + NOUN,PREP + NOUN COMBINATIONS
552,on a diet,"diyette, rejimde",1059,ON + NOUN,PREP + NOUN COMBINATIONS
553,on a trip,"seyahatte, gezide",1059,ON + NOUN,PREP + NOUN COMBINATIONS
554,on air,canlı yayında,1059,ON + NOUN,PREP + NOUN COMBINATIONS
555,on an expedition,seferde,1059,ON + NOUN,PREP + NOUN COMBINATIONS
556,on application,başvuru üzerine,1059,ON + NOUN,PREP + NOUN COMBINATIONS
557,on average,ortalama,1059,ON + NOUN,PREP + NOUN COMBINATIONS
558,on board,"gemide, trende",1059,ON + NOUN,PREP + NOUN COMBINATIONS
559,on business,işiyle meşgul,1059,ON + NOUN,PREP + NOUN COMBINATIONS
560,on demand,talep üzerine,1059,ON + NOUN,PREP + NOUN COMBINATIONS
561,on duty,"görevde, nöbette",1059,ON + NOUN,PREP + NOUN COMBINATIONS
562,on fire,"alev almış, yanan",1059,ON + NOUN,PREP + NOUN COMBINATIONS
563,on foot,yürüyerek,1059,ON + NOUN,PREP + NOUN COMBINATIONS
564,on guard,savunmaya hazır,1059,ON + NOUN,PREP + NOUN COMBINATIONS
565,on hold,beklemede,1059,ON + NOUN,PREP + NOUN COMBINATIONS
566,"on holiday,&on vacation",tatilde,1059,ON + NOUN,PREP + NOUN COMBINATIONS
567,on loan,ödünç olarak,1059,ON + NOUN,PREP + NOUN COMBINATIONS
568,on occasion,"bazen, gerektiğinde",1059,ON + NOUN,PREP + NOUN COMBINATIONS
569,on order,sipariş üzerine,1059,ON + NOUN,PREP + NOUN COMBINATIONS
570,on purpose,kasıtlı olarak,1059,ON + NOUN,PREP + NOUN COMBINATIONS
571,on route,belli rotada,1059,ON + NOUN,PREP + NOUN COMBINATIONS
572,on sale,satılık,1059,ON + NOUN,PREP + NOUN COMBINATIONS
573,on schedule,tam zamanında,1059,ON + NOUN,PREP + NOUN COMBINATIONS
574,on stage,sahnede,1059,ON + NOUN,PREP + NOUN COMBINATIONS
575,on strike,grevde,1059,ON + NOUN,PREP + NOUN COMBINATIONS
576,on the agenda,gündemde,1059,ON + NOUN,PREP + NOUN COMBINATIONS
577,on the face of it,görünüşe göre,1059,ON + NOUN,PREP + NOUN COMBINATIONS
578,on the increase,artışta,1059,ON + NOUN,PREP + NOUN COMBINATIONS
579,on the whole,her şey düşünüldüğünde,1059,ON + NOUN,PREP + NOUN COMBINATIONS
580,on time,tam zamanında,1059,ON + NOUN,PREP + NOUN COMBINATIONS
581,out of date,modası geçmiş,1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
582,out of debt,borcu olmayan,1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
583,out of order,"bozuk, çalışmayan",1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
584,out of question,"imkânsız, şüphesiz",1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
585,out of reach,"erişilmez, ulaşılmaz",1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
586,out of respect,"saygıdan dolayı, hürmeten",1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
587,out of sight,görünmeyen,1059,OUT OF + NOUN,PREP + NOUN COMBINATIONS
588,to my amazement,beni hayrete düşüren...,1059,TO + NOUN,PREP + NOUN COMBINATIONS
589,to my mind,"bana göre, bence",1059,TO + NOUN,PREP + NOUN COMBINATIONS
590,to my surprise,beni şaşırtan...,1059,TO + NOUN,PREP + NOUN COMBINATIONS
591,under pressure,baskı altında,1059,UNDER + NOUN,PREP + NOUN COMBINATIONS
592,under scrutiny,gözetim altında,1059,UNDER + NOUN,PREP + NOUN COMBINATIONS
593,under the circumstances,şartları altında,1059,UNDER + NOUN,PREP + NOUN COMBINATIONS
594,under the terms of,şartlarına göre,1059,UNDER + NOUN,PREP + NOUN COMBINATIONS
595,under way,"yapılmakta, yolda",1059,UNDER + NOUN,PREP + NOUN COMBINATIONS
596,for fun,keyfine,1059,FOR + NOUN,PREP + NOUN COMBINATIONS
597,for sale,satılık,1059,FOR + NOUN,PREP + NOUN COMBINATIONS
598,for the sake of,"hatrına, uğruna",1059,FOR + NOUN,PREP + NOUN COMBINATIONS
599,for,çünkü,1060,FANTBOYS,
600,and,ve,1060,FANTBOYS,
601,nor,ne de,1060,FANTBOYS,
602,then,"sonra, o zaman",1060,FANTBOYS,
603,but,fakat,1060,FANTBOYS,
604,or,"veya, yoksa",1060,FANTBOYS,
605,yet,fakat,1060,FANTBOYS,
606,so,bu yüzden,1060,FANTBOYS,
607,not only … but (also) …,"sadece… değil, ayrıca…",1060,PARALEL YAPI,PARALEL YAPI
608,both … and …,hem… hem de,1060,PARALEL YAPI,PARALEL YAPI
609,either … or …,ya…ya da,1060,PARALEL YAPI,PARALEL YAPI
610,neither … nor …,ne… ne de,1060,PARALEL YAPI,PARALEL YAPI
611,not… but …,… değil …-dır,1060,ÖZEL YAPI,ÖZEL YAPI
612,"although,&even though,&much as,&even if,&while,&though,&despite the fact that,&in spite of the fact that","...-e rağmen, ...-sa da, ...-sa bile, ...-e karşın",1060,BAĞLAÇ,"""Beklenti-Sonuç Zıtlığı"" anlamı veren yapılar"
613,"despite,&in spite of","...-e rağmen, ...-e karşın",1060,EDAT,"""Beklenti-Sonuç Zıtlığı"" anlamı veren yapılar"
614,"however + adj/adv,&no matter how + adj/adv",ne kadar…-sa …-sın,1060,BAĞLAÇ,"""Beklenti-Sonuç Zıtlığı"" anlamı veren yapılar"
615,"whereas,&while","… iken, oysaki",1060,BAĞLAÇ,"""Taraf Zıtlığı"" anlamı veren yapılar"
616,notwithstanding,...-e rağmen; yine de,1060,EDAT / CÜMLE ZARFI / BAĞLAÇ,"""Beklenti-Sonuç Zıtlığı"" anlamı veren yapılar"
617,"because,&since,&as,&seeing as,&seeing that,&inasmuch as,&on the grounds that","...-dığı için, çünkü, madem ki, ...-dığına göre, … gerekçesiyle",1060,BAĞLAÇ,"Devamında ""Sebep"" bildiren yapılar"
618,now that,"madem ki, -dığına göre",1060,BAĞLAÇ,"Devamında ""Sebep"" bildiren yapılar"
619,in that,… bakımından,1060,BAĞLAÇ,"Devamında ""Sebep"" bildiren yapılar"
620,"because of,&due to,&owing to,&on account of,&in view of,&thanks to,&as a result of,&as a consequence of,&by virtue of","...-den dolayı, ...-nın yüzünden, ...-nın sayesinde, ...-nın sonucu olarak",1060,EDAT,"Devamında ""Sebep"" bildiren yapılar"
621,"so … that,&such… that",o kadar…ki,1060,So + adj / adv + that SVO,"Devamında ""Sonuç"" bildiren yapılar"
622,",so (that)",bu yüzden,1060,FANTBOYS,"Devamında ""Sonuç"" bildiren yapılar"
623,otherwise,"aksi takdirde, yoksa",1060,CÜMLE ZARFI,"Devamında ""Sonuç"" bildiren yapılar"
624,so that,"...-mek için, ...-sın diye",1060,BAĞLAÇ,"""Amaç"" bildiren yapılar"
625,in order that,"...-mek için, ...-sın diye",1060,BAĞLAÇ,"""Amaç"" bildiren yapılar"
626,for fear that,...-korkusuyla,1060,BAĞLAÇ,"""Amaç"" bildiren yapılar"
627,lest,...-mesin diye,1060,BAĞLAÇ,"""Amaç"" bildiren yapılar"
628,after,...-den sonra,1060,BAĞLAÇ / EDAT,"""Zaman"" ifadeleri"
629,before,...-meden önce,1060,BAĞLAÇ / EDAT / CÜMLE ZARFI,"""Zaman"" ifadeleri"
630,"as soon as,&the moment",…-er ...-ermez,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
631,when,...-diğinde,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
632,while,...-iken,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
633,once,...-dığı andan itibaren; …-er ...-ermez,1060,BAĞLAÇ / CÜMLE ZARFI,"""Zaman"" ifadeleri"
634,"until,&till",...-e kadar,1060,BAĞLAÇ / EDAT,"""Zaman"" ifadeleri"
635,by the time,"...-e kadar, -den önce",1060,BAĞLAÇ,"""Zaman"" ifadeleri"
636,just as,tam …-dığında,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
637,the last time,son …-dığında,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
638,the next time,gelecek sefer…-dığında,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
639,"no sooner… than,&hardly … when",…-er ...-ermez; -mesiyle…-ması bir oldu,1060,CÜMLE BAŞINDA DEVRİK,"""Zaman"" ifadeleri"
640,"whenever,&every time",her …-diğinde,1060,BAĞLAÇ,"""Zaman"" ifadeleri"
641,"just as,&just as …., so …",...-dığı gibi,1060,BAĞLAÇ,"""Durum"" bildiren yapılar"
642,"as if,&as though","...-gibi, ...-mış gibi",1060,BAĞLAÇ,"""Durum"" bildiren yapılar"
643,"given that,&considering that",...-mesi dikkate alınırsa,1060,BAĞLAÇ,"""Öznel yargı"" bildiren yapılar"
644,"given,&considering",...-i düşünürsek,1060,EDAT,"""Öznel yargı"" bildiren yapılar"
645,"as far as,&so far as",...-dığı kadarıyla,1060,BAĞLAÇ,"""Öznel yargı"" bildiren yapılar"
646,insofar as,"...-dığı ölçüde, ...-dığı kadarıyla",1060,BAĞLAÇ,"""Öznel yargı"" bildiren yapılar"
647,"however,&still,&even so,&nonetheless,&neverthless,&all the same","fakat,yine de",1060,CÜMLE ZARFI,"""Zıtlık"" bildiren yapılar"
648,"conversely,&on the other hand,&in contrast,&by contrast","aksine, diğer yandan",1060,CÜMLE ZARFI,"""Zıtlık"" bildiren yapılar"
649,"in contrast to,&in contrast with,&unlike,&contrary to,&as apposed to",...-nın aksine,1060,EDAT,"""Zıtlık"" bildiren yapılar"
650,"therefore,&thus,&hence,&accordingly,&consequently,&as a consequence,&as a result,&thereby","bu yüzden, sonuç olarak",1060,CÜMLE ZARFI,"Devamında ""Sonuç"" bildiren yapılar"
651,"also,&besides,&further,&moreover,&furthermore,&in addition,&what’s more,&additionally","ayrıca, dahası, buna ek olarak",1060,CÜMLE ZARFI,"""Ekleme"" anlamı veren yapılar"
652,"besides,&in addition to,&apart from,&as well as,&aside from","...-nın yanı sıra, ...-e ilaveten",1060,EDAT,"""Ekleme"" anlamı veren yapılar"
653,"along with,&together with,&alongside,&coupled with","ile birlikte, ...-e ilaveten, ...-nın yanı sıra",1060,EDAT,"""Ekleme"" anlamı veren yapılar"
654,"at first,&initially","ilk olarak, başta",1060,CÜMLE ZARFI,"""Zaman"" ifadeleri"
655,afterwards,daha sonra,1060,CÜMLE ZARFI,"""Zaman"" ifadeleri"
656,in the meantime,bu sürede,1060,CÜMLE ZARFI,"""Zaman"" ifadeleri"
657,meanhile,bu esnada,1060,CÜMLE ZARFI,"""Zaman"" ifadeleri"
658,subsequently,"daha sonra, sonrasında",1060,CÜMLE ZARFI,"""Zaman"" ifadeleri"
659,"for instance,&for example,&to illustrate,&to exemplify",örneğin,1060,CÜMLE ZARFI,"""Örnekleme"" yapıları"
660,"like,&such as,&including",… gibi,1060,EDAT,"""Örnekleme"" yapıları"
661,"in particular,&particularly,&especially,&notably,&specifically",özellikle,1060,CÜMLE ZARFI,"""Özellikle"" anlamı veren yapılar"
662,"that is,&namely,&in other words",diğer bir deyişle,1060,AÇIKLAMA ZARFI,"""Diğer bir deyişle"" anlamı veren yapılar"
663,"likewise,&similarly","aynı şekilde, bunun gibi",1060,CÜMLE ZARFI,"""Benzetme"" anlamı veren yapılar"
664,like,… gibi,1060,EDAT,"""Benzetme"" anlamı veren yapılar"
665,"in fact,&indeed,&actually,&as a matter of fact,&as such","hatta,aslında",1060,CÜMLE ZARFI,"""Vurgu"" anlamı veren yapılar"
666,on the contrary,"aksine, bilakis",1060,CÜMLE ZARFI,"""Çürütme"" anlamı veren yapılar"
667,"as for,&when it comes to,&with regard to,&with respect to,&in the case of",...-e gelince,1060,EDAT,"""-e gelince / ile ilgili"" anlamı veren yapılar"
668,"about,&as to,&concerning,&regarding,&as regards,&pertaining to",ile ilgili,1060,EDAT,"""-e gelince / ile ilgili"" anlamı veren yapılar"
669,"in summary,&in brief,&in short,&in conclusion,&to sum up,&to wrap up,&all in all","kısaca,&özet olarak",1060,CÜMLE ZARFI,"""Özetleme"" yapıları"
670,"except that,&save that",hariç,1060,BAĞLAÇ,"""Hariç"" anlamı veren yapılar"
671,"except (for),&but,&apart from,&aside from,&saving","… hariç,& …-den başka",1060,EDAT,"""Hariç Tutma"" anlamı veren yapılar"
672,"by,&via,&through,&by means of,&with the help of","… aracılığıyla, ...-nın yardımıyla",1060,EDAT,"""Aracılığıyla"" anlamı veren yapılar"
673,"irrespective of,&regardless of",...-e bakılmaksızın,1060,EDAT,"""-e bakılmaksızın"" anlamına gelen yapılar"
674,rather than,...-den ziyade,1060,EDAT,"""-den ziyade, yerine"" anlamına gelen yapılar"
675,"instead,&rather","onun yerine …, daha ziyade …",1060,CÜMLE ZARFI,"""-den ziyade, yerine"" anlamına gelen yapılar"
676,"instead of, &in place of",…-nın yerine,1060,EDAT,"""-den ziyade, yerine"" anlamına gelen yapılar"
677,in case of,"… durumunda, … halinde",1060,EDAT,"""Durum"" yapıları"
678,in case,"… olur diye, … ihtimaline karşı",1060,BAĞLAÇ,"""Durum"" yapıları"
679,if,"…-se, eğer",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
680,"provided,&providing (that)","… şartıyla, eğer",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
681,"as long as,&so long as","...-diği sürece, … şartıyla",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
682,only if,ancak …sa,1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
683,unless,"...-mezse, ...-medikçe",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
684,"suppose,&supposing (that)","diyelim ki …, varsayalim ki …",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
685,what if …?,"ya …-sa?, ya …-saydı?",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
686,on condition that,"… koşuluyla, … şartıyla",1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
687,"whether … or …,& whether ... or not",ister … ister …; … olsa da olmasa da,1060,BAĞLAÇ,"""Şart, Koşul"" yapıları"
688,in order to + V0,…-mek için,1060,YARDIMCI BAĞLAÇ,"""Amaç Bildiren"" yapılar"
689,so as to + V0,…-mek için,1060,YARDIMCI BAĞLAÇ,"""Amaç Bildiren"" yapılar"
690,"with a view to + Ving,&with a view towards + Ving","…-mek için, … amacıyla",1060,EDAT,"""Amaç Bildiren"" yapılar"
